,0
ask_price1,38593.0
ask_price2,38595.0
ask_price3,38605.0
ask_price4,38608.0
ask_price5,38616.0
bid_price1,38577.0
bid_price2,38560.0
bid_price3,38559.0
bid_price4,38553.0
bid_price5,38549.0
ask_size1,9623300.0
ask_size2,46353399.0
ask_size3,46072915.0
ask_size4,46110510.0
ask_size5,41695526.0
bid_size1,45820943.0
bid_size2,45763670.0
bid_size3,47380857.0
bid_size4,47380857.0
bid_size5,47380857.0
